deltaB 4A2g 4T2g 4T1g 4T1g 2A1g 2Eg 2T1g 2T2g 2A2g
28.9389068 0 28.9389068 39.2726388 62.5440815 46.4405145 20.9946517 21.847567 32.0736581 66.4405145
29.5176849 0 29.5176849 39.8919218 63.6611329 47.0192926 21.0095145 21.857836 32.1545991 67.0192926
30.096463 0 30.096463 40.5094073 64.7799818 47.5980707 21.0240686 21.8677835 32.2333666 67.5980707
30.6752412 0 30.6752412 41.1252058 65.9005177 48.1768489 21.0383237 21.8774234 32.3100407 68.1768489
31.2540193 0 31.2540193 41.7394169 67.0226409 48.755627 21.0522894 21.8867696 32.3846945 68.755627
31.8327974 0 31.8327974 42.3521361 68.1462562 49.3344051 21.0659775 21.8958371 32.4574041 69.3344051
32.4115756 0 32.4115756 42.9634491 69.2712776 49.9131833 21.0793944 21.9046377 32.5282358 69.9131833
32.9903537 0 32.9903537 43.5734362 70.3976249 50.4919614 21.0925509 21.9131822 32.5972572 70.4919614
33.5691318 0 33.5691318 44.1821736 71.5252219 51.0707395 21.1054544 21.9214834 32.6645305 71.0707395
34.14791 0 34.14791 44.789731 72.6539989 51.6495177 21.1181125 21.9295509 32.730119 71.6495177
34.7266881 0 34.7266881 45.3961736 73.7838907 52.2282958 21.1305316 21.9373955 32.7940782 72.2282958
35.3054662 0 35.3054662 46.0015616 74.9148371 52.807074 21.1427213 21.9450247 32.8564641 72.807074
35.8842444 0 35.8842444 46.6059507 76.0467824 53.3858521 21.154687 21.952448 32.9173312 73.3858521
36.4630225 0 36.4630225 47.2093944 77.1796731 53.9646302 21.1664362 21.9596742 32.9767288 73.9646302
37.0418006 0 37.0418006 47.8119421 78.3134598 54.5434084 21.1779732 21.9667117 33.0347074 74.5434084
37.6205788 0 37.6205788 48.4136399 79.4480965 55.1221865 21.1893065 21.9735659 33.091314 75.1221865
38.1993569 0 38.1993569 49.0145295 80.5835413 55.7009646 21.2004394 21.9802454 33.1465927 75.7009646
38.778135 0 38.778135 49.6146538 81.7197513 56.2797428 21.2113794 21.9867578 33.2005863 76.2797428
39.3569132 0 39.3569132 50.2140482 82.8566913 56.8585209 21.2221318 21.9931072 33.2533387 76.8585209
39.9356913 0 39.9356913 50.8127492 83.9943248 57.437299 21.2326999 21.9993012 33.3048864 77.437299
40.5144695 0 40.5144695 51.4107899 85.1326184 58.0160772 21.24309 22.0053441 33.3552701 78.0160772
41.0932476 0 41.0932476 52.0082004 86.2715423 58.5948553 21.2533065 22.0112433 33.4045263 78.5948553
41.6720257 0 41.6720257 52.6050129 87.4110643 59.1736334 21.2633537 22.0170021 33.4526892 79.1736334
42.2508039 0 42.2508039 53.2012519 88.5511597 59.7524116 21.2732369 22.022627 33.4997942 79.7524116
42.829582 0 42.829582 53.7969453 89.6918006 60.3311897 21.2829582 22.0281222 33.5458725 80.3311897
43.4083601 0 43.4083601 54.3921168 90.8329636 60.9099678 21.2925241 22.0334909 33.5909561 80.9099678
43.9871383 0 43.9871383 54.986791 91.9746238 61.488746 21.3019378 22.0387395 33.635075 81.488746
44.5659164 0 44.5659164 55.5809871 93.1167621 62.0675241 21.3112015 22.0438703 33.6782583 82.0675241
45.1446945 0 45.1446945 56.1747278 94.2593558 62.6463023 21.3203215 22.0488885 33.7205338 82.6463023
45.7234727 0 45.7234727 56.7680311 95.4023869 63.2250804 21.329299 22.0537964 33.7619293 83.2250804
46.3022508 0 46.3022508 57.3609164 96.545836 63.8038585 21.3381383 22.0585991 33.8024695 83.8038585
46.8810289 0 46.8810289 57.9534009 97.689686 64.3826367 21.3468424 22.063299 33.8421801 84.3826367
47.4598071 0 47.4598071 58.5455005 98.8339207 64.9614148 21.3554159 22.0679003 33.8810857 84.9614148
48.0385852 0 48.0385852 59.1372315 99.9785241 65.5401929 21.3638596 22.0724051 33.9192079 85.5401929
48.6173633 0 48.6173633 59.7286088 101.123481 66.1189711 21.3721779 22.0768167 33.9565702 86.1189711
49.1961415 0 49.1961415 60.3196452 102.268779 66.6977492 21.3803741 22.0811393 33.993194 86.6977492
49.7749196 0 49.7749196 60.9103558 103.414403 67.2765273 21.3884491 22.085373 34.0290986 87.2765273
50.3536977 0 50.3536977 61.5007513 104.560342 67.8553055 21.3964073 22.089523 34.0643065 87.8553055
50.9324759 0 50.9324759 62.0908457 105.706582 68.4340836 21.4042508 22.0935895 34.0988349 88.4340836
