deltaB 5Eg 5T2g 3T1g 3Eg 3T2g 3A2gF 3A1g 1Eg 1T2g 1A2gI 1A1g 1T1g 1A2gF 3A2gP
24.1206036 0 24.120603 3.03300628 23.4192915 25.7078555 28.3373191 27.4020101 17.0477123 15.6881847 35.5495842 27.6187136 38.6343191 70.777049 78.3888116
24.8743725 0 24.8743719 2.31485427 23.4248241 25.718299 28.3828291 27.4020101 16.3674008 15.0008807 35.5716658 27.1609095 38.676255 71.5087362 79.0970704
25.6281414 0 25.6281407 1.59533166 23.4300766 25.7282111 28.4270842 27.4020101 15.6837286 14.3115201 35.5928656 26.6946219 38.7163417 72.2413053 79.8065842
26.3819103 0 26.3819095 0.874517588 23.4350678 25.7376307 28.4701332 27.4020101 14.9969133 13.6202035 35.6132337 26.2200817 38.7546935 72.974706 80.517304
27.1356792 0 27.1356784 0.152486181 23.4398191 25.7465967 28.5120214 27.4020101 14.3071558 12.9270276 35.6328178 25.7375176 38.7914146 73.7088907 81.2291847
27.8894482 0.570694745 28.460142 0 24.0150402 26.3258342 29.1234862 27.9727048 14.1853329 12.8027739 36.2223568 25.8178505 39.397299 75.0145113 82.5128781
28.6432152 1.29496229 29.9381784 0 24.7436244 27.0582513 29.8874497 28.6969724 14.2144925 12.8304008 36.9647651 26.0441822 40.1553128 76.474407 83.9512198
29.3969841 2.0202589 31.4172437 0 25.4730427 27.7913304 30.6514058 29.4222688 14.242245 12.8574422 37.7075402 26.2641884 40.9129962 77.9359937 85.3916256
30.150753 2.74653006 32.8972839 0 26.2032538 28.5250427 31.4153379 30.1485402 14.2686822 12.8839146 38.4506608 26.4780364 41.6703706 79.3991834 86.8340025
30.9045219 3.47372484 34.3782475 0 26.9342173 29.2593606 32.1792337 30.8757349 14.2938882 12.9098354 39.1941093 26.6858882 42.4274585 80.8638932 88.2782663
31.6582909 4.20179796 35.8600892 0 27.6659008 29.9942563 32.9430804 31.6038078 14.3179384 12.9352211 39.9378706 26.8879108 43.1842802 82.3300465 89.7243354
32.4120598 4.93070459 37.3427651 0 28.3982676 30.7297073 33.7068668 32.3327148 14.3409045 12.9600854 40.6819284 27.0842676 43.9408543 83.7975716 91.1721319
33.1658287 5.66040564 38.8262349 0 29.1312877 31.4656872 34.4705842 33.0624158 14.362853 12.984446 41.4262701 27.2751219 44.6971985 85.2664008 92.6215842
33.9195976 6.39086199 40.3104598 0 29.8649309 32.2021759 35.2342261 33.7928719 14.383843 13.0083141 42.1708807 27.4606357 45.4533279 86.7364724 94.0726244
34.6733665 7.12203884 41.7954058 0 30.5991709 32.9391508 35.9977839 34.524049 14.4039334 13.031706 42.91575 27.6409686 46.2092575 88.2077249 95.5251884
35.4271355 7.85390329 43.2810389 0 31.3339799 33.676593 36.7612525 35.2559133 14.4231746 13.0546344 43.6608656 27.8162776 46.9650013 89.6801055 96.9792161
36.1809044 8.58642197 44.7673266 0 32.0693329 34.4144849 37.5246281 35.9884322 14.4416168 13.0771118 44.4062173 27.9867173 47.7205716 91.1535616 98.4346482
36.9346733 9.31956768 46.2542412 0 32.8052085 35.1528053 38.2879058 36.7215779 14.459304 13.099152 45.1517952 28.152441 48.4759812 92.628044 99.8914309
37.6884422 10.0533133 47.741755 0 33.5415829 35.8915402 39.0510829 37.4553229 14.4762789 13.1207638 45.8975892 28.3135942 49.2312399 94.1035088 101.349513
38.4422112 10.7876291 49.2298405 0 34.2784372 36.6306734 39.8141545 38.1896394 14.4925791 13.1419623 46.6435905 28.4703254 49.986358 95.5799108 102.808843
39.1959801 11.5224962 50.7184761 0 35.0157513 37.3701872 40.5771206 38.9245063 14.5082437 13.1627563 47.3897915 28.6227739 50.7413467 97.0572098 104.269378
39.949749 12.2578869 52.2076357 0 35.753505 38.1100691 41.3399799 39.659897 14.5233053 13.183157 48.1361834 28.7710779 51.4962123 98.5353693 105.73107
40.7035179 12.9937811 53.697299 0 36.4916834 38.850304 42.1027274 40.3957915 14.5377965 13.2031759 48.8827588 28.9153744 52.2509648 100.014351 107.193879
41.4572868 13.7301598 55.187446 0 37.2302688 39.5908794 42.8653668 41.1321696 14.551745 13.2228216 49.6295126 29.0557915 53.0056106 101.494122 108.657766
42.2110558 14.467 56.6780553 0 37.969245 40.3317839 43.6278932 41.8690101 14.5651809 13.2421043 50.3764359 29.1924573 53.760157 102.974649 110.12269
42.9648247 15.2042866 58.1691106 0 38.7085967 41.0730038 44.390309 42.6062965 14.5781294 13.2610352 51.1235226 29.3254937 54.5146118 104.455905 111.588616
43.7185936 15.9420004 59.660593 0 39.4483116 41.8145289 45.1526131 43.3440101 14.5906143 13.2796206 51.8707676 29.4550214 55.2689799 105.937856 113.055508
44.4723625 16.6801262 61.1524874 0 40.1883744 42.5563467 45.9148053 44.0821357 14.6026583 13.2978719 52.6181646 29.5811558 56.0232676 107.420477 114.523334
45.2261314 17.4186459 62.6447764 0 40.9287739 43.2984497 46.6768869 44.8206558 14.6142839 13.3157952 53.3657085 29.7040088 56.7774799 108.903744 115.992063
45.9799004 18.157547 64.137446 0 41.6694962 44.0408254 47.4388568 45.5595565 14.6255113 13.3333995 54.1133945 29.8236872 57.5316219 110.387628 117.461663
46.7336693 18.8968143 65.6304824 0 42.4105314 44.7834661 48.2007173 46.2988241 14.636358 13.3506947 54.8612173 29.9402977 58.2856985 111.872109 118.932108
47.4874382 19.6364346 67.1238719 0 43.1518668 45.5263606 48.9624673 47.0384447 14.646843 13.3676859 55.6091721 30.0539397 59.0397123 113.357165 120.403367
48.2412071 20.3763962 68.6176018 0 43.8934925 46.2695038 49.7241093 47.7784058 14.6569824 13.3843832 56.357255 30.1647111 59.7936709 114.842771 121.875415
48.994976 21.116684 70.1116583 0 44.6353995 47.0128844 50.4856432 48.5186935 14.6667927 13.4007902 57.1054611 30.272706 60.5475741 116.328912 123.348226
49.748745 21.8572884 71.6060327 0 45.3775766 47.756495 51.2470716 49.259299 14.6762889 13.4169183 57.8537864 30.3780163 61.3014284 117.815565 124.821778
50.5025139 22.5981979 73.1007111 0 46.1200151 48.5003291 52.0083932 50.0002085 14.6854837 13.4327714 58.6022274 30.4807286 62.0552349 119.302714 126.296045
51.2562828 23.3394051 74.5956859 0 46.8627073 49.2443807 52.7696106 50.7414146 14.6943907 13.4483568 59.3507802 30.5809271 62.8089987 120.790339 127.771006
52.0100517 24.0808945 76.0909447 0 47.6056432 49.9886394 53.5307249 51.4829045 14.7030239 13.4636809 60.099441 30.6786947 63.5627211 122.278427 129.246641
52.7638206 24.8226604 77.5864786 0 48.3488166 50.7331018 54.2917374 52.2246696 14.7113932 13.47875 60.8482073 30.774108 64.3164045 123.76696 130.722927
