deltaB 4T1g 4T2g 4A2g 4T1g 2T2g 2Eg 2T1g 2A1g 2A2g
30.4259635 8.6069503 36.9257961 67.3517596 49.8186785 28.2705882 0 27.2393651 54.8152485 74.8152485
31.0344828 9.20730223 38.1216714 69.1561542 51.0015578 28.8675152 0 27.8296897 56.0111237 76.0111237
31.643002 9.80784686 39.3181045 70.9611065 52.18536 29.4646613 0 28.4204574 57.2075568 77.2075568
32.2515213 10.4085781 40.515074 72.7665953 53.3700487 30.0620213 0 29.0116521 58.4045264 78.4045264
32.8600406 11.0094868 41.7125588 74.5725994 54.5555892 30.6595913 0 29.6032606 59.6020112 79.6020112
33.4685598 11.610569 42.9105375 76.3790974 55.7419473 31.2573671 0 30.1952667 60.7999899 80.7999899
34.0770791 12.2118164 44.1089939 78.186073 56.9290923 31.8553438 0 30.7876582 61.9984462 81.9984462
34.6855984 12.8132252 45.3079087 79.9935071 58.1169939 32.4535183 0 31.3804219 63.1973611 83.1973611
35.2941176 13.414788 46.5072647 81.8013824 59.3056247 33.0518854 0 31.9735446 64.396717 84.396717
35.9026369 14.016501 47.7070467 83.6096836 60.4949564 33.6504412 0 32.5670152 65.596499 85.596499
36.5111562 14.618358 48.9072394 85.4183955 61.6849635 34.2491805 0 33.1608215 66.7966917 86.7966917
37.1196755 15.220356 50.1078266 87.227502 62.8756227 34.8481014 0 33.7549533 67.9972789 87.9972789
37.7281947 15.8224888 51.3087961 89.0369909 64.0669097 35.4471988 0 34.3493996 69.1982485 89.1982485
38.336714 16.4247525 52.5101349 90.8468489 65.2588032 36.0464675 0 34.9441511 70.3995872 90.3995872
38.9452333 17.027143 53.7118286 92.6570619 66.4512809 36.6459047 0 35.5391978 71.6012809 91.6012809
39.5537525 17.6296572 54.9138671 94.4676197 67.6443235 37.2455071 0 36.1345304 72.8033195 92.8033195
40.1622718 18.2322901 56.1162373 96.2785091 68.8379128 37.8452688 0 36.73014 74.0056897 94.0056897
40.7707911 18.8350396 57.318929 98.0897201 70.0320274 38.4451886 0 37.3260183 75.2083813 95.2083813
41.3793103 19.4379006 58.521932 99.9012424 71.2266531 39.0452606 0 37.9221562 76.4113844 96.4113844
41.9878296 20.0408702 59.7252353 101.713065 72.4217708 39.6454828 0 38.5185477 77.6146876 97.6146876
42.5963489 20.6439452 60.9288306 103.52518 73.6173661 40.2458509 0 39.1151836 78.818283 98.818283
43.2048682 21.2471237 62.1327069 105.337575 74.8134219 40.8463621 0 39.7120578 80.0221592 100.022159
43.8133874 21.8504016 63.336857 107.150244 76.0099249 41.4470122 0 40.3091623 81.2263093 101.226309
44.4219067 22.4537769 64.5412718 108.963178 77.20686 42.0477992 0 40.9064909 82.4307241 102.430724
45.030426 23.0572465 65.7459432 110.776369 78.404215 42.6487181 0 41.5040375 83.6353955 103.635396
45.6389452 23.6608063 66.9508631 112.589808 79.6019757 43.2497677 0 42.1017951 84.8403154 104.840315
46.2474645 24.2644564 68.1560254 114.40349 80.8001298 43.8509442 0 42.6997586 86.0454777 106.045478
46.8559838 24.8681927 69.3614209 116.217405 81.9986663 44.4522434 0 43.2979219 87.2508732 107.250873
47.464503 25.4720142 70.5670446 118.031548 83.197572 45.0536653 0 43.8962789 88.456497 108.456497
48.0730223 26.0759168 71.7728895 119.845912 84.3968387 45.6552049 0 44.4948256 89.6623418 109.662342
48.6815416 26.6799006 72.9789473 121.660489 85.5964533 46.256859 0 45.0935548 90.8683996 110.8684
