deltaB 5T2g 5Eg 3T1g 3T2g 3Eg 3A2gP 3A1g 1A1g 1T1g 1T2g 1A2gI 1Eg 1A2gF 3A2gF
17.7777778 0 17.7777778 7.29284444 12.5930833 26.7230269 37.1780278 44.4592593 1.58045463 16.9754546 27.5337194 41.4772463 34.5837648 56.3449759 61.2238241
18.3333333 0 18.3333333 6.76802778 12.1384991 26.7506426 37.4697407 45.0148148 0.514251852 16.440037 27.1704981 41.5877194 34.5871954 56.7900583 61.4876667
18.8888889 0.553312963 19.4422019 6.79556759 12.2332287 27.3300204 38.3083509 46.1236833 0 16.4572537 27.3502491 42.2451787 35.1437667 57.7947806 62.311237
19.4444444 1.62217037 21.0666148 7.33774352 12.8397296 28.4235176 39.6560796 47.7480963 0 16.9893704 28.035887 43.4122694 36.2157241 59.3209593 63.6567796
20 2.69225741 22.6922574 7.88028519 13.4438963 29.5169352 40.9986083 49.3737389 0 17.5221046 28.7137463 44.5750694 37.2887639 60.8538898 65.0099796
20.5555556 3.76351481 24.3190704 8.42317407 14.045862 30.6103139 42.335888 51.0005519 0 18.0554278 29.3843824 45.7338861 38.362837 62.3931435 66.3707713
21.1111111 4.83588796 25.9469991 8.96639352 14.6457537 31.7036917 43.6678824 52.6284806 0 18.589313 30.0483167 46.8890102 39.4378981 63.9383213 67.7390787
21.6666667 5.90932593 27.5759926 9.50992778 15.243687 32.7970991 44.9945685 54.2574741 0 19.1237352 30.7060333 48.040713 40.5139056 65.4890491 69.1148231
22.2222222 6.98377963 29.2060019 10.053763 15.8397713 33.8905648 46.315938 55.8874833 0 19.6586704 31.3579843 49.1892472 41.5908176 67.0449787 70.4979185
22.7777778 8.05920648 30.8369843 10.5978861 16.4341074 34.9841102 47.6319935 57.5184657 0 20.1940981 32.0045843 50.3348481 42.6685991 68.6057861 71.8882704
23.3333333 9.13556296 32.4688963 11.1422833 17.0267898 36.0777556 48.9427528 59.1503778 0 20.7299972 32.6462176 51.4777352 43.7472139 70.1711685 73.2857806
23.8888889 10.2128102 34.1016991 11.6869435 17.6179074 37.1715185 50.2482407 60.7831806 0 21.2663491 33.2832361 52.6181093 44.8266278 71.7408444 74.6903426
24.4444444 11.290912 35.7353565 12.2318556 18.2075417 38.2654111 51.5484972 62.416838 0 21.8031361 33.9159639 53.7561583 45.9068102 73.3145546 76.1018454
25 12.3698333 37.3698333 12.7770093 18.7957713 39.3594472 52.8435676 64.0513148 0 22.3403417 34.5447 54.8920556 46.9877315 74.8920556 77.5201731
25.5555556 13.4495417 39.0050972 13.3223954 19.3826676 40.4536361 54.1335111 65.6865787 0 22.87795 35.1697176 56.0259611 48.0693639 76.4731222 78.9452019
26.1111111 14.5300056 40.6411167 13.8680037 19.9682991 41.5479861 55.4183907 67.3225981 0 23.4159454 35.7912657 57.1580213 49.1516815 78.0575463 80.3768065
26.6666667 15.6111972 42.2778639 14.4138269 20.5527306 42.6425037 56.6982815 68.9593454 0 23.9543148 36.4095769 58.2883741 50.2346574 79.6451315 81.8148546
27.2222222 16.693088 43.9153102 14.9598556 21.1360194 43.7371954 57.9732611 70.5967917 0 24.4930444 37.024863 59.4171435 51.3182694 81.2357 83.259212
27.7777778 17.7756528 45.5534306 15.5060833 21.718225 44.8320657 59.2434176 72.234912 0 25.0321231 37.6373176 60.5444472 52.4024944 82.8290815 84.7097407
28.3333333 18.8588667 47.1922 16.0525028 22.2993981 45.9271185 60.5088407 73.8736815 0 25.571537 38.2471222 61.6703898 53.4873111 84.4251213 86.1663
28.8888889 19.9427056 48.8315944 16.5991065 22.8795898 47.0223556 61.7696269 75.5130759 0 26.1112759 38.8544407 62.7950722 54.5726991 86.0236731 87.6287472
29.4444444 21.0271491 50.4715935 17.1458889 23.4588463 48.1177806 63.0258769 77.153075 0 26.6513296 39.4594259 63.9185843 55.658638 87.6246028 89.0969389
30 22.1121741 52.1121741 17.6928426 24.037212 49.2133926 64.2776926 78.7936556 0 27.1916861 40.0622194 65.0410093 56.7451111 89.2277824 90.5707287
30.5555556 23.1977611 53.7533167 18.239963 24.6147287 50.3091944 65.5251815 80.4347981 0 27.732338 40.6629509 66.1624259 57.8321 90.8330963 92.0499713
31.1111111 24.2838926 55.3950037 18.7872444 25.1914361 51.4051861 66.76845 82.0764852 0 28.273275 41.2617417 67.2829065 58.919588 92.4404343 93.5345204
31.6666667 25.3705491 57.0372157 19.3346815 25.7673704 52.5013667 68.0076083 83.7186972 0 28.814488 41.8587028 68.4025148 60.0075583 94.0496935 95.0242296
32.2222222 26.457713 58.6799352 19.8822694 26.3425685 53.597737 69.2427676 85.3614167 0 29.3559694 42.453938 69.5213139 61.0959963 95.6607787 96.5189546
32.7777778 27.5453685 60.3231463 20.4300028 26.917063 54.6942954 70.474037 87.0046278 0 29.8977102 43.0475444 70.6393602 62.184887 97.2736 98.0185519
33.3333333 28.6335 61.9668333 20.9778778 27.4908843 55.7910407 71.7015296 88.6483148 0 30.4397037 43.6396111 71.7567056 63.2742167 98.8880731 99.5228778
33.8888889 29.7220926 63.6109815 21.5258907 28.064063 56.8879731 72.9253546 90.292463 0 30.9819417 44.2302213 72.8733981 64.3639722 100.50412 101.031793
34.4444444 30.8111306 65.255575 22.0740361 28.6366269 57.9850898 74.1456222 91.9370565 0 31.5244176 44.8194528 73.9894833 65.4541398 102.121667 102.545157
35 31.9006019 66.9006019 22.6223111 29.2086028 59.0823898 75.3624417 93.5820833 0 32.067125 45.4073778 75.1050028 66.5447083 103.740645 104.062836
35.5555556 32.9904917 68.5460472 23.1707111 29.7800157 60.1798704 76.5759204 95.2275287 0 32.6100574 45.9940639 76.2199954 67.6356657 105.360989 105.584694
36.1111111 34.0807889 70.1919 23.7192333 30.3508907 61.2775315 77.7861639 96.8733815 0 33.1532074 46.579575 77.3344954 68.727 106.982638 107.110599
36.6666667 35.1714806 71.8381472 24.2678741 30.9212491 62.3753694 78.9932778 98.5196287 0 33.6965704 47.1639704 78.448538 69.8187 108.605535 108.640425
37.2222222 36.2625556 73.4847778 24.8166306 31.4911139 63.4733824 80.197363 100.166259 0 34.2401407 47.7473046 79.5621537 70.9107565 110.229625 110.174045
37.7777778 37.3540028 75.1317806 25.3654981 32.0605046 64.5715694 81.3985194 101.813262 0 34.783912 48.3296296 80.6753694 72.0031593 111.854858 111.711338
38.3333333 38.4458111 76.7791444 25.914475 32.6294407 65.6699269 82.5968463 103.460626 0 35.3278796 48.9109954 81.7882139 73.0958981 113.481186 113.252183
38.8888889 39.5379704 78.4268593 26.4635583 33.1979407 66.7684528 83.7924389 105.108341 0 35.872038 49.4914463 82.900712 74.1889639 115.108563 114.796466
39.4444444 40.6304713 80.0749157 27.0127454 33.7660231 67.8671454 84.9853898 106.756397 0 36.4163815 50.0710259 84.0128852 75.2823481 116.736946 116.344071
40 41.7233037 81.7233037 27.5620324 34.3337037 68.9660019 86.1757889 108.404785 0 36.9609074 50.649775 85.1247556 76.3760417 118.366296 117.894893
40.5555556 42.8164593 83.3720148 28.1114176 34.9009991 70.0650204 87.3637259 110.053496 0 37.5056102 51.2277315 86.2363444 77.4700361 119.996573 119.448821
41.1111111 43.9099278 85.0210389 28.6608991 35.4679231 71.1641972 88.5492852 111.70252 0 38.0504852 51.8049306 87.3476685 78.5643241 121.627743 121.005756
41.6666667 45.0037028 86.6703694 29.2104731 36.0344926 72.2635315 89.73255 113.351851 0 38.5955287 52.3814074 88.4587472 79.6588981 123.259769 122.565596
42.2222222 46.097775 88.3199972 29.7601389 36.6007194 73.3630204 90.9136009 115.001479 0 39.1407352 52.9571935 89.5695963 80.75375 124.89262 124.128245
42.7777778 47.1921361 89.9699139 30.3098926 37.1666176 74.4626611 92.0925148 116.651395 0 39.6861028 53.5323185 90.6802296 81.8488731 126.526265 125.69361
43.3333333 48.2867796 91.620113 30.8597333 37.7321991 75.5624519 93.2693676 118.301594 0 40.2316269 54.106812 91.790663 82.9442602 128.160675 127.2616
43.8888889 49.3816981 93.270587 31.4096583 38.2974759 76.6623898 94.4442315 119.952069 0 40.7773028 54.6807 92.9009083 84.0399056 129.795821 128.832128
44.4444444 50.4768843 94.9213287 31.9596667 38.8624602 77.7624731 95.6171769 121.60281 0 41.3231278 55.2540083 94.0109796 85.1358009 131.431678 130.40511
45 51.5723315 96.5723315 32.5097556 39.427162 78.8626991 96.7882722 123.253813 0 41.8690991 55.826762 95.120888 86.2319417 133.068219 131.980465
45.5555556 52.6680333 98.2235889 33.0599222 39.9915926 79.9630648 97.9575824 124.90507 0 42.415212 56.3989824 96.2306435 87.3283222 134.705423 133.558114
46.1111111 53.7639824 99.8750935 33.6101667 40.5557611 81.0635694 99.1251704 126.556575 0 42.9614639 56.9706926 97.3402574 88.4249343 136.343264 135.137981
46.6666667 54.8601741 101.526841 34.1604861 41.1196778 82.1642093 100.291097 128.208322 0 43.5078519 57.541912 98.449738 89.521775 137.981722 136.719993
47.2222222 55.9566019 103.178824 34.7108796 41.6833509 83.2649833 101.45542 129.860306 0 44.0543731 58.1126611 99.5590954 90.618838 139.620776 138.304081
47.7777778 57.0532602 104.831038 35.2613444 42.2467898 84.3658889 102.618198 131.512519 0 44.6010231 58.6829593 100.668337 91.7161176 141.260406 139.890175
48.3333333 58.1501435 106.483477 35.8118806 42.8100028 85.4669231 103.779483 133.164958 0 45.1478009 59.2528222 101.777472 92.8136083 142.900594 141.478211
48.8888889 59.2472463 108.136135 36.3624843 43.3729981 86.5680852 104.939329 134.817617 0 45.6947037 59.8222676 102.886506 93.9113065 144.541319 143.068127
49.4444444 60.3445639 109.789008 36.9131565 43.9357824 87.6693722 106.097785 136.47049 0 46.2417269 60.391312 103.995448 95.0092065 146.182569 144.65986
50 61.4420907 111.442091 37.4638944 44.498363 88.7707824 107.254901 138.123572 0 46.7888694 60.9599704 105.104303 96.1073046 147.824322 146.253354
