delta/B 4A2g 4T2g 4T1g 4T1g 2A1g 2Eg 2T1g 2T2g 2T1g 2T2g 2Eg 2T1g 2T1g 2T2g 2Eg 2A2g 2T2g 2T1g 2Eg 2T2g
12.733119 0 12.733119 20.316045 32.8833119 30.2347267 20.3755198 21.3025627 28.3966195 34.0215477 33.1066002 36.4453623 39.6748371 46.301089 45.9680311 54.1600857 50.2347267 51.8238671 57.606717 77.6932015 79.6137781
13.3118971 0 13.3118971 21.0922583 33.843433 30.8135048 20.4087653 21.3383923 28.6041779 34.5974394 33.6957631 37.0248435 40.3554995 47.4451801 46.8666624 55.4063934 50.8135048 52.5928232 58.64291 78.7280568 80.6221383
13.8906752 0 13.8906752 21.8568403 34.8151854 31.392283 20.4406377 21.3719807 28.802104 35.173686 34.2869357 37.6041822 41.030523 48.5903012 47.7365756 56.6252069 51.392283 53.3916034 59.6856002 79.7919239 81.637015
14.4694534 0 14.4694534 22.6103398 35.7980204 31.9710611 20.4712497 21.4035456 28.9913548 35.7502337 34.8795252 38.1834041 41.7002637 49.7363387 48.5762069 57.8158199 51.9710611 54.2217706 60.7343783 80.8853676 82.6580461
15.0482315 0 15.0482315 23.3533237 36.7913708 32.5498392 20.5006988 21.4332765 29.1727106 36.3270375 35.4730868 38.7625295 42.3650568 50.8831983 49.3850322 58.9777588 52.5498392 55.0838542 61.7888585 82.0087449 83.6848875
15.6270096 0 15.6270096 24.0863687 37.7946602 33.1286174 20.5290729 21.4613398 29.3468167 36.9040622 36.0672905 39.3415745 43.0252208 52.0307942 50.1636195 60.1107835 53.1286174 55.9772958 62.8486795 83.1621908 84.7172176
16.2057878 0 16.2057878 24.8100504 38.807313 33.7073955 20.556448 21.4878821 29.5142133 37.4812776 36.6618896 39.9205531 43.6810504 53.1790547 50.913507 61.2148971 53.7073955 56.9005648 63.9135016 84.3456141 85.7547342
16.7845659 0 16.7845659 25.5249357 39.8287621 34.2861736 20.5828928 21.5130289 29.6753644 38.058657 37.2566988 40.4994759 44.3328242 54.3279164 51.6369668 62.2903376 54.2861736 57.8513944 64.9830086 85.5586977 86.7971543
17.3633441 0 17.3633441 26.2315777 40.8584544 34.8649518 20.6084684 21.536895 29.8306688 38.636179 37.8515777 41.0783516 44.9808039 55.4773226 52.336702 63.3375648 54.8649518 58.8270879 66.0569025 86.8009089 87.8442101
17.9421222 0 17.9421222 26.9305113 41.8958553 35.4437299 20.6332283 21.5595809 29.9804759 39.2138264 38.4464223 41.6571886 45.6252304 56.6272251 53.0155702 64.3572444 55.4437299 59.8247931 67.1349089 88.071523 88.8956538
18.5209003 0 18.5209003 27.6222454 42.9404555 36.022508 20.6572229 21.5811768 30.1250986 39.7915841 39.0411543 42.2359925 46.2663312 57.7775788 53.6763666 65.3502165 56.022508 60.8417149 68.2167696 89.3696442 89.9512497
19.0996785 0 19.0996785 28.307268 43.9917674 36.6012862 20.6804952 21.6017631 30.2648135 40.3694384 39.6357149 42.8147696 46.9043173 58.9283473 54.3216838 66.3174695 56.6012862 61.8752615 69.3022433 90.6942337 91.0107781
19.6784566 0 19.6784566 28.9860375 45.0493323 37.1800643 20.7030857 21.6214126 30.3998735 40.9473773 40.2300611 43.393523 47.5393859 60.0794952 54.9538414 67.2601061 57.1800643 62.9231104 70.3911083 92.0441426 92.0740343
20.2572347 0 20.2572347 29.658985 46.1127192 37.7588424 20.7250322 21.6401897 30.5305091 41.5253923 40.8241618 43.9722562 48.1717181 61.2309914 55.574865 68.1793151 57.7588424 63.9832315 71.4831554 93.4181436 93.1408232
20.8360129 0 20.8360129 30.3265166 47.181522 38.3376206 20.7463676 21.6581543 30.6569293 42.1034748 41.4179946 44.5509743 48.8014866 62.3828081 56.1864898 69.0763398 58.3376206 65.0538821 72.5781919 94.8149582 94.2109646
21.414791 0 21.414791 30.9890086 48.2553644 38.9163987 20.7671222 21.6753601 30.7793312 42.6816163 42.0115423 45.1296774 49.4288478 63.5349228 56.7901897 69.952448 58.9163987 66.1335777 73.6760375 96.2332808 95.2842872
21.9935691 0 21.9935691 31.6468135 49.3338939 39.4951768 20.7873258 21.6918564 30.8978939 43.2598114 42.6047974 45.7083698 50.0539486 64.6873108 57.387209 70.8089132 59.4951768 67.2210665 74.7765252 97.6718114 96.3606313
22.5723473 0 22.5723473 32.3002562 50.4167856 40.073955 20.8070043 21.7076881 31.0127867 43.8380557 43.1977513 46.2870525 50.6769282 65.8399528 57.9785927 71.6469914 60.073955 68.3152883 75.8794984 99.1292626 97.4398467
23.1511254 0 23.1511254 32.949642 51.5037342 40.6527331 20.8261811 21.7228939 31.1241672 44.4163419 43.7904041 46.8657278 51.297911 66.9928307 58.5652176 72.4679057 60.6527331 69.4153548 76.9848124 100.604387 98.521791
23.7299035 0 23.7299035 33.5952497 52.5944609 41.2315113 20.8448789 21.7375145 31.2321844 44.9946677 44.3827546 47.4443955 51.9170182 68.1459282 59.1478199 73.2728371 61.2315113 70.5205123 78.0923312 102.095981 99.6063333
24.3086817 0 24.3086817 34.2373387 53.6887063 41.8102894 20.863119 21.7515809 31.3369764 45.5730289 44.9748039 48.0230589 52.5343591 69.2992304 59.7270193 74.06291 61.8102894 71.6301254 79.2019293 103.602895 100.693347
24.8874598 0 24.8874598 34.876149 54.7862304 42.3890675 20.8809207 21.7651275 31.4386763 46.1514212 45.5665552 48.601717 53.1500354 70.4527235 60.3033387 74.8391919 62.3890675 72.7436549 80.3134898 105.124044 101.782717
25.4662379 0 25.4662379 35.5119014 55.8868124 42.9678457 20.8983023 21.7781822 31.5374073 46.7298424 46.1580139 49.180373 53.7641447 71.6063944 60.8772176 75.602687 62.9678457 73.8606409 81.4269035 106.658402 102.87433
26.0450161 0 26.0450161 36.1448017 56.9902465 43.5466238 20.9152808 21.7907717 31.6332883 47.3082905 46.7491854 49.7590247 54.3767738 72.7602326 61.4490311 76.3543376 63.5466238 74.9806913 82.5420665 108.205012 103.968083
26.6237942 0 26.6237942 36.7750375 58.0963451 44.1254019 20.9318725 21.8029218 31.7264309 47.8867621 47.340074 50.3376752 54.9880075 73.9142262 62.0190965 77.0950182 64.1254019 76.1034705 83.6588853 109.76298 105.063877
27.2025723 0 27.2025723 37.4027846 59.2049325 44.7041801 20.9480911 21.8146559 31.81694 48.4652551 47.930687 50.9163248 55.5979239 75.0683676 62.5876838 77.8255456 64.7041801 77.228686 84.7772712 111.331475 106.16162
27.7813505 0 27.7813505 38.0282036 60.3158478 45.2829582 20.9639518 21.8259946 31.9049175 49.0437674 48.5210311 51.4949732 56.2065927 76.2226463 63.1550236 78.5466731 65.2829582 78.356089 85.8971393 112.909729 107.261224
28.3601286 0 28.3601286 38.6514416 61.4289443 45.8617363 20.9794673 21.8369593 31.9904598 49.622299 49.1111125 52.0736206 56.8140847 77.3770547 63.721314 79.2590997 65.8617363 79.4854598 87.0184126 114.49703 108.362608
28.9389068 0 28.9389068 39.2726388 62.5440815 46.4405145 20.9946517 21.847567 32.0736581 50.2008467 49.7009389 52.652268 57.4204598 78.5315863 64.2867256 79.9634684 66.4405145 80.6166077 88.1410193 116.092721 109.465691
29.5176849 0 29.5176849 39.8919218 63.6611329 47.0192926 21.0095145 21.857836 32.1545991 50.7794105 50.2905166 53.2309153 58.0257792 79.6862326 64.8514041 80.6603719 67.0192926 81.7493676 89.2648896 117.696197 110.570404
30.096463 0 30.096463 40.5094073 64.7799818 47.5980707 21.0240686 21.8677835 32.2333666 51.3579871 50.8798521 53.8095627 58.6300986 80.8409871 65.4154759 81.3503558 67.5980707 82.8835927 90.3899603 119.306902 111.676673
30.6752412 0 30.6752412 41.1252058 65.9005177 48.1768489 21.0383237 21.8774234 32.3100407 51.9365777 51.4689518 54.3882111 59.2334673 81.9958446 65.9790493 82.0339228 68.1768489 84.0191533 91.5161715 120.924323 112.784435
31.2540193 0 31.2540193 41.7394169 67.0226409 48.755627 21.0522894 21.8867696 32.3846945 52.5151801 52.0578242 54.9668596 59.8359357 83.1508006 66.5422186 82.7115338 68.755627 85.1559346 92.6434684 122.547987 113.893626
31.8327974 0 31.8327974 42.3521361 68.1462562 49.3344051 21.0659775 21.8958371 32.4574041 53.0937931 52.6464737 55.5455102 60.4375488 84.3058478 67.1050654 83.383612 69.3344051 86.293836 93.7717964 124.177462 115.004188
32.4115756 0 32.4115756 42.9634491 69.2712776 49.9131833 21.0793944 21.9046377 32.5282358 53.6724169 53.2349078 56.1241608 61.0383483 85.4609829 67.6676613 84.0505488 69.9131833 87.4327653 94.9011072 125.812348 116.116064
32.9903537 0 32.9903537 43.5734362 70.3976249 50.4919614 21.0925509 21.9131822 32.5972572 54.2510504 53.823134 56.7028135 61.6383751 86.6162004 68.2300675 84.712701 70.4919614 88.5726442 96.0313526 127.452278 117.229203
33.5691318 0 33.5691318 44.1821736 71.5252219 51.0707395 21.1054544 21.9214834 32.6645305 54.8296913 54.4111565 57.2814662 62.2376667 87.7714962 68.7923376 85.3703987 71.0707395 89.7133966 97.1624909 129.096914 118.343552
34.14791 0 34.14791 44.789731 72.6539989 51.6495177 21.1181125 21.9295509 32.730119 55.4083419 54.9989818 57.8601211 62.8362583 88.9268671 69.3545177 86.0239453 71.6495177 90.8549603 98.2944802 130.745945 119.459064
34.7266881 0 34.7266881 45.3961736 73.7838907 52.2282958 21.1305316 21.9373955 32.7940782 55.9869989 55.5866152 58.4387771 63.4341822 90.0823098 69.9166484 86.6736195 72.2282958 91.9972744 99.4272808 132.399086 120.575695
35.3054662 0 35.3054662 46.0015616 74.9148371 52.807074 21.1427213 21.9450247 32.8564641 56.5656635 56.1740632 59.0174352 64.0314716 91.2378199 70.4787642 87.3196785 72.807074 93.1402872 100.560857 134.05607 121.693401
35.8842444 0 35.8842444 46.6059507 76.0467824 53.3858521 21.154687 21.952448 32.9173312 57.1443344 56.7613312 59.5960943 64.6281533 92.3933944 71.0408971 87.9623591 73.3858521 94.2839496 101.695174 135.716656 122.81214
36.4630225 0 36.4630225 47.2093944 77.1796731 53.9646302 21.1664362 21.9596742 32.9767288 57.7230118 57.3484244 60.1747546 65.2242572 93.5490311 71.6030718 88.60188 73.9646302 95.4282165 102.830199 137.380616 123.931875
37.0418006 0 37.0418006 47.8119421 78.3134598 54.5434084 21.1779732 21.9667117 33.0347074 58.3016945 57.9353473 60.7534169 65.8198092 94.7047256 72.165313 89.2384427 74.5434084 96.5730504 103.965902 139.047745 125.052568
37.6205788 0 37.6205788 48.4136399 79.4480965 55.1221865 21.1893065 21.9735659 33.091314 58.8803826 58.522105 61.3320804 66.4148328 95.860477 72.7276399 89.8722326 75.1221865 97.7184137 105.102253 140.717849 126.174183
38.1993569 0 38.1993569 49.0145295 80.5835413 55.7009646 21.2004394 21.9802454 33.1465927 59.4590761 59.108702 61.910746 67.0093516 97.0162808 73.2900686 90.5034223 75.7009646 98.8642733 106.239225 142.390751 127.296687
38.778135 0 38.778135 49.6146538 81.7197513 56.2797428 21.2113794 21.9867578 33.2005863 60.0377738 59.6951436 62.4894126 67.6033891 98.1721372 73.8526152 91.1321715 76.2797428 100.010598 107.376792 144.066285 128.420048
39.3569132 0 39.3569132 50.2140482 82.8566913 56.8585209 21.2221318 21.9931072 33.2533387 60.6164759 60.2814352 63.0680815 68.1969636 99.3280418 74.4152915 91.7586281 76.8585209 101.15736 108.514928 145.7443 129.544237
39.9356913 0 39.9356913 50.8127492 83.9943248 57.437299 21.2326999 21.9993012 33.3048864 61.1951822 60.8675788 63.6467513 68.7900965 100.483994 74.9781093 92.3829271 77.437299 102.304534 109.653613 147.424652 130.669222
40.5144695 0 40.5144695 51.4107899 85.1326184 58.0160772 21.24309 22.0053441 33.3552701 61.7738928 61.4535788 64.2254234 69.382806 101.63999 75.5410772 93.0051983 78.0160772 103.452096 110.792821 149.107211 131.794975
41.0932476 0 41.0932476 52.0082004 86.2715423 58.5948553 21.2533065 22.0112433 33.4045263 62.3526056 62.0394405 64.8040965 69.9751104 102.796031 76.1042036 93.6255563 78.5948553 104.600025 111.932534 150.791853 132.921473
41.6720257 0 41.6720257 52.6050129 87.4110643 59.1736334 21.2633537 22.0170021 33.4526892 62.9313226 62.6251683 65.3827717 70.5670247 103.952113 76.6674941 94.2441136 79.1736334 105.748298 113.07273 152.478465 134.048687
42.2508039 0 42.2508039 53.2012519 88.5511597 59.7524116 21.2732369 22.022627 33.4997942 63.5100429 63.2107631 65.961448 71.1585659 105.108234 77.2309539 94.86097 79.7524116 106.896899 114.213392 154.16694 135.176595
42.829582 0 42.829582 53.7969453 89.6918006 60.3311897 21.2829582 22.0281222 33.5458725 64.0887663 63.7962315 66.5401254 71.7497492 106.264392 77.7945884 95.4762197 80.3311897 108.045809 115.354501 155.85718 136.305173
43.4083601 0 43.4083601 54.3921168 90.8329636 60.9099678 21.2925241 22.0334909 33.5909561 64.667492 64.3815756 67.1188049 72.3405884 107.420588 78.3584009 96.0899539 80.9099678 109.195013 116.49604 157.549092 137.434399
43.9871383 0 43.9871383 54.986791 91.9746238 61.488746 21.3019378 22.0387395 33.635075 65.2462208 64.9667985 67.6974855 72.9310975 108.576819 78.9223934 96.7022529 81.488746 110.344495 117.637991 159.242589 138.56425
44.5659164 0 44.5659164 55.5809871 93.1167621 62.0675241 21.3112015 22.0438703 33.6782583 65.8249518 65.5519046 68.2761683 73.5212883 109.733084 79.4865691 97.313194 82.0675241 111.494241 118.780342 160.937593 139.694708
45.1446945 0 45.1446945 56.1747278 94.2593558 62.6463023 21.3203215 22.0488885 33.7205338 66.403686 66.136896 68.8548521 74.1111736 110.889382 80.0509282 97.9228489 82.6463023 112.644239 119.923077 162.634025 140.825753
45.7234727 0 45.7234727 56.7680311 95.4023869 63.2250804 21.329299 22.0537964 33.7619293 66.9824212 66.7217749 69.433538 74.7007653 112.045711 80.6154727 98.5312851 83.2250804 113.794475 121.066181 164.331816 141.957367
46.3022508 0 46.3022508 57.3609164 96.545836 63.8038585 21.3381383 22.0585991 33.8024695 67.5611586 67.3065466 70.0122251 75.290075 113.20207 81.1802026 99.1385659 83.8038585 114.944939 122.209641 166.0309 143.089529
46.8810289 0 46.8810289 57.9534009 97.689686 64.3826367 21.3468424 22.063299 33.8421801 68.1398992 67.8912122 70.5909132 75.8791115 114.358458 81.7451179 99.7447492 84.3826367 116.09562 123.353445 167.731214 144.222225
47.4598071 0 47.4598071 58.5455005 98.8339207 64.9614148 21.3554159 22.0679003 33.8810857 68.7186409 68.4757749 71.1696024 76.4678864 115.514874 82.3102186 100.349891 84.9614148 117.246507 124.49758 169.432701 145.355437
48.0385852 0 48.0385852 59.1372315 99.9785241 65.5401929 21.3638596 22.0724051 33.9192079 69.2973837 69.0602379 71.7482937 77.0564084 116.671317 82.8755048 100.954042 85.5401929 118.397592 125.642035 171.135305 146.489151
48.6173633 0 48.6173633 59.7286088 101.123481 66.1189711 21.3721779 22.0768167 33.9565702 69.8761286 69.6446024 72.3269861 77.644687 117.827786 83.4409743 101.557253 86.1189711 119.548865 126.7868 172.838975 147.623349
49.1961415 0 49.1961415 60.3196452 102.268779 66.6977492 21.3803741 22.0811393 33.993194 70.4548757 70.2288725 72.9056795 78.232731 118.984281 84.0066259 102.159567 86.6977492 120.700319 127.931861 174.543662 148.758019
49.7749196 0 49.7749196 60.9103558 103.414403 67.2765273 21.3884491 22.085373 34.0290986 71.0336238 70.8130493 73.4843741 78.8205488 120.1408 84.5724598 102.761028 87.2765273 121.851945 129.077211 176.24932 149.893147
50.3536977 0 50.3536977 61.5007513 104.560342 67.8553055 21.3964073 22.089523 34.0643065 71.6123741 71.397135 74.0630707 79.4081468 121.297342 85.1384727 103.361677 87.8553055 123.003736 130.22284 177.955908 151.028717
50.9324759 0 50.9324759 62.0908457 105.706582 68.4340836 21.4042508 22.0935895 34.0988349 72.1911243 71.981134 74.6417674 79.9955348 122.453907 85.7046645 103.961552 88.4340836 124.155686 131.368737 179.663383 152.164718
